streams,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
141381703,125,80,89,83,31,0,8,4
133716286,92,71,61,74,7,0,10,4
140003974,138,51,32,53,17,0,31,6
800840817,170,55,58,72,11,0,11,15
303236322,144,65,23,80,14,63,11,6
183706234,141,92,66,58,19,0,8,24
725980112,148,67,83,76,48,0,8,3
58149378,100,67,26,71,37,0,11,4
95217315,130,85,22,62,12,0,28,9
553634067,170,81,56,48,21,0,8,33
505671438,83,57,56,72,23,0,27,5
58255150,150,78,52,82,18,0,15,7
1316855716,118,71,65,68,6,0,3,7
387570742,130,51,32,43,83,0,9,3
2513188493,174,52,66,73,34,0,31,6
1163093654,89,64,43,73,5,17,16,4
496795686,120,78,76,59,43,0,34,3
30546883,78,44,14,9,96,0,10,3
335222234,100,86,67,66,14,0,12,16
363369738,120,63,36,73,0,0,36,4
86444842,140,65,87,74,22,0,42,4
52135248,123,69,82,76,6,0,6,3
1297026226,135,48,44,42,12,2,11,3
200647221,133,85,81,67,26,0,12,5
115364561,99,85,83,68,7,0,36,20
78300654,130,79,96,86,9,0,9,9
899183384,107,80,82,80,43,0,14,4
61245289,122,81,74,71,14,0,56,4
429829812,204,52,52,68,46,0,15,4
127408954,110,67,78,85,2,0,33,5
22581161,126,74,35,84,0,0,11,6
52294266,168,56,63,87,39,0,11,5
843957510,98,71,17,61,36,0,8,5
999748277,97,64,51,63,12,0,19,5
618990393,180,72,61,63,67,0,9,28
123122413,120,81,63,68,11,0,11,4
188933502,150,61,39,73,37,0,11,3
1355959075,96,75,57,68,9,0,13,6
786181836,95,60,48,79,0,0,12,4
176553476,125,79,96,85,27,0,11,6
354495408,144,56,84,65,23,0,10,6
2808096550,90,76,91,50,54,0,7,5
1109433169,128,56,38,97,4,0,35,4
1047101291,79,56,58,56,37,0,11,10
65156199,144,77,75,58,52,0,23,25
570515054,122,67,49,64,10,0,10,3
1085685420,140,71,82,81,11,0,6,5
1647990401,134,59,51,52,9,0,15,7
2565529693,186,68,49,59,16,0,13,28
518745108,67,53,50,53,23,0,44,7
107753850,106,72,17,64,7,0,10,5
177740666,128,60,23,91,0,0,12,3
153372011,107,92,55,70,18,0,15,7
57876440,130,67,96,88,12,19,8,4
1813673666,123,45,13,54,70,0,9,4
3703895074,171,50,38,80,0,0,9,7
256483385,137,64,88,72,51,0,17,5
1214083358,125,84,85,68,58,0,22,4
16011326,128,86,42,72,59,0,9,19
812019557,130,61,53,58,55,0,27,4
111947664,130,86,59,96,50,1,9,5
156338624,133,70,86,81,25,0,25,5
720434240,101,88,72,59,62,0,9,3
357925728,95,77,53,64,74,0,17,14
674072710,98,90,40,59,0,0,10,29
1755214421,173,43,28,66,0,0,23,3
404562836,90,64,10,62,7,0,48,7
373199958,198,59,71,42,55,0,10,7
14780425,140,56,48,73,0,0,35,4
39578178,82,51,22,53,1,0,15,3
54266102,130,77,84,89,17,0,43,5
2557975762,81,76,53,53,44,0,9,9
751134527,94,51,14,59,65,18,25,3
2282771485,124,61,41,81,5,2,10,3
1356565093,128,62,55,78,1,3,23,4
1592909789,138,49,42,62,9,0,11,3
635412045,132,58,27,48,50,0,12,3
1230675890,131,71,24,47,1,0,27,9
585695368,168,78,58,73,5,0,10,7
43857627,98,68,40,79,33,0,30,6
2009094673,102,48,50,73,43,0,15,4
600976848,101,34,32,57,78,0,20,3
39709092,130,63,36,34,76,0,35,9
39228929,142,50,20,64,1,0,12,3
2665343922,170,59,48,76,4,0,10,5
223633238,124,78,70,68,3,1,11,4
2887241814,110,50,45,41,75,0,11,3
1440757818,92,91,43,71,9,0,9,8
165484133,116,82,40,66,39,51,25,7
58054811,129,63,84,82,70,8,9,7
157058870,98,71,67,60,19,0,12,3
95131998,172,74,76,76,6,0,10,9
250305248,150,68,14,76,4,0,10,4
685032533,136,62,19,53,11,0,6,4
38411956,88,53,34,47,9,0,83,4
144565150,143,83,69,44,15,0,10,33
127567540,100,49,17,35,71,9,11,3
399686758,143,56,39,55,14,0,11,13
983637508,112,56,24,66,7,0,12,3
118482347,93,62,57,59,3,0,38,3
882831184,206,43,50,55,50,0,15,10
286400165,88,68,17,71,15,0,11,5
172825906,170,50,37,90,0,0,12,5
1241559043,84,62,24,67,21,0,13,28
29562220,134,81,53,72,51,0,12,5
77309611,158,54,50,40,61,0,10,6
